City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
261,Aljezur,PT,37.32,-8.8,61.0,91,73,12.39,light rain,0.36,0.0
262,Poum,NC,-20.23,164.02,71.89,71,11,14.32,few clouds,0.0,0.0
263,San Cristobal,VE,7.77,-72.22,77.0,94,75,4.7,fog,0.0,0.0
264,Severo-Kurilsk,RU,50.68,156.12,36.16,89,96,16.42,overcast clouds,0.0,0.0
265,Libreville,GA,0.39,9.45,84.2,79,20,4.7,thunderstorm,0.0,0.0
266,Pampas,PE,-12.4,-74.9,64.0,29,26,5.03,scattered clouds,0.0,0.0
267,Tuktoyaktuk,CA,69.45,-133.04,15.8,78,90,10.29,light snow,0.0,0.0
268,Waingapu,ID,-9.66,120.26,77.29,75,26,12.64,scattered clouds,0.0,0.0
269,Preston,GB,53.77,-2.72,51.8,59,40,13.87,scattered clouds,0.0,0.0
270,Irbeyskoye,RU,55.64,95.45,53.01,52,97,8.68,overcast clouds,0.0,0.0
271,Pasni,PK,25.26,63.47,82.35,86,10,9.42,clear sky,0.0,0.0
272,Paracuru,BR,-3.41,-39.03,84.0,71,48,21.0,light rain,0.41,0.0
273,Pangkalanbuun,ID,-2.68,111.62,77.0,95,98,1.86,overcast clouds,0.0,0.0
274,Masuguru,TZ,-11.37,38.42,77.86,68,78,2.24,broken clouds,0.0,0.0
275,Turukhansk,RU,65.82,87.98,34.79,86,0,6.58,clear sky,0.0,0.0
276,Saint George,US,37.1,-113.58,69.8,32,1,3.36,clear sky,0.0,0.0
277,Sobolevo,RU,54.43,31.9,45.72,79,99,12.17,light rain,0.44,0.0
278,Port-Cartier,CA,50.03,-66.87,43.0,32,20,23.04,few clouds,0.0,0.0
279,Thompson,CA,55.74,-97.86,55.4,28,5,14.99,clear sky,0.0,0.0
280,Vaitape,PF,-16.52,-151.75,81.63,76,14,16.82,few clouds,0.0,0.0
281,Dhidhdhoo,MV,6.88,73.1,86.16,74,100,6.82,overcast clouds,0.0,0.0
282,Huilong,CN,31.81,121.66,64.99,82,36,3.0,scattered clouds,0.0,0.0
283,Sayaxche,GT,16.52,-90.17,90.81,53,26,4.54,scattered clouds,0.0,0.0
284,Thinadhoo,MV,0.53,72.93,84.92,77,95,17.4,moderate rain,1.03,0.0
285,Henties Bay,NA,-22.12,14.28,65.28,61,0,12.35,clear sky,0.0,0.0
286,Ketchikan,US,55.34,-131.65,48.2,93,90,11.41,overcast clouds,0.0,0.0
287,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,86.0,74,40,4.7,scattered clouds,0.0,0.0
288,Nyurba,RU,63.28,118.33,30.25,98,97,3.11,overcast clouds,0.0,0.0
289,Caravelas,BR,-17.71,-39.25,82.04,56,0,6.93,clear sky,0.0,0.0
290,Goundam,ML,16.41,-3.67,104.9,16,88,6.87,overcast clouds,0.0,0.0
291,Kandrian,PG,-6.22,149.55,78.48,88,80,7.96,broken clouds,0.0,0.0
292,Narsaq,GL,60.92,-46.05,55.4,50,75,10.29,broken clouds,0.0,0.0
293,Mattru,SL,7.62,-11.83,85.17,76,99,5.14,light rain,0.95,0.0
294,Lavrentiya,RU,65.58,-171.0,33.04,94,98,6.33,overcast clouds,0.0,0.0
295,Mehamn,NO,71.04,27.85,37.4,55,58,2.93,broken clouds,0.0,0.0
296,Longyan,CN,25.11,117.02,65.01,64,86,1.92,overcast clouds,0.0,0.0
