,Country,Income_Per_Capita,Population_Total,Population_Median_Age,Percent_Population_over_60,Percent_Goverment_Expenditure_on_Health,Female_Life_Expectancy,Male_Life_Expectancy,Liters_of_Alcohol,Percent_Population_Access_To_Clean_Water,Cell_phones_per_100_people,Cell_phones_total,Measles_immunization
93,"Korea, Rep.",22990.0,48050.0,36.0,14.0,11.9,71.0,65.0,7.87,92.0,79.4,36600000.0,99.0
95,Kyrgyzstan,1790.0,5259.0,24.0,7.0,8.7,58.0,52.0,3.63,89.0,10.3,300000.0,99.0
96,Lao People's Democratic Republic,1740.0,5759.0,20.0,5.0,4.1,47.0,47.0,6.91,60.0,10.8,204191.0,41.0
97,Latvia,14840.0,2289.0,40.0,22.0,10.2,68.0,58.0,9.61,99.0,81.1,1536712.0,95.0
98,Lebanon,9600.0,4055.0,27.0,10.0,11.3,62.0,59.0,3.24,100.0,27.8,888000.0,96.0
99,Lesotho,1810.0,1995.0,19.0,7.0,7.8,33.0,30.0,1.82,78.0,13.9,159000.0,85.0
100,Liberia,260.0,3579.0,16.0,4.0,16.4,37.0,34.0,3.82,64.0,4.9,47250.0,94.0
101,Libyan Arab Jamahiriya,11630.0,6039.0,25.0,6.0,6.5,65.0,62.0,0.01,71.0,5.0,127000.0,97.0
103,Luxembourg,60870.0,461.0,38.0,19.0,16.8,74.0,69.0,15.56,100.0,154.8,539000.0,95.0
105,Macedonia,7850.0,2036.0,35.0,16.0,16.5,65.0,62.0,5.69,100.0,62.0,776000.0,96.0
106,Madagascar,870.0,19159.0,18.0,5.0,9.2,50.0,47.0,1.59,47.0,2.7,333888.0,59.0
